id,uuid,type,code,published,is_flagged,has_alert,metatag,internal_user,Meilleur prix vente,Quantité meilleur prix vente,Meilleur prix achat,Quantité meilleur prix achat,Capitalisation,Prix clôture,Cours ajusté,field_cours_cloture,Cours courant,Quantité échangée,Volume échangé,field_date_application,Différence,field_dynamic_reference_price,Statut,Plus haut,field_instrument_var_year,field_last_traded_price,field_last_traded_time,field_last_transactions,Plus bas,field_market_id,Ouverture,field_pto,field_ratio_ajustement,field_ratio_consolide,Prix référence,field_symbol,Nombre transactions,field_transact_time,field_var_pto,Variation %,Nom,Symbole,Secteur,redirect_alias
17897011,f29f934f-7bee-4403-90f8-1974909604bc,market_watch,MUT-690e0b6b4e696,1,[],False,[],[],271.0000000000,10.0000000000,270.0000000000,1400.0000000000,2532681264.3000000000,273.9000000000,273.9000000000,-,273.9000000000,6281.0000000000,1698229.8500000000,2025-11-07T16:00:45,-0.1000000000,273.9000000000,-,276.4000000000,-,273.9000000000,2025-11-07T15:15:55,-,270.0000000000,59,272.0500000000,[],1.00,1.00,274.0000000000,423,117,2025-11-07T16:00:45,[],-0.0364963504,MUTANDIS SCA,MUT,Agroalimentaire et Production,/fr/live-market/instruments/MUT
17896994,f4e6fe6a-d4f1-4740-85e8-979ebaaa0528,market_watch,NEJ-690e0b5e61b73,1,[],False,[],[],[],[],4561.0000000000,1.0000000000,4988412000.0000000000,4875.0000000000,4875.0000000000,-,4875.0000000000,1.0000000000,4875.0000000000,2025-11-07T16:00:45,275.0000000000,4875.0000000000,-,4875.0000000000,-,4875.0000000000,2025-11-07T14:30:33,-,4875.0000000000,59,4875.0000000000,4875.0000000000,1.00,1.00,4600.0000000000,494,1,2025-11-07T16:00:45,5.9782608696,5.9782608696,AUTO NEJMA,NEJ,Distributeurs,/fr/live-market/instruments/NEJ
17897005,6d732767-e569-4ab7-bf73-8278453ee7c3,market_watch,NKL-690e0b671657c,1,[],False,[],[],62.0000000000,1000.0000000000,59.2500000000,200.0000000000,1785000000.0000000000,59.5000000000,59.5000000000,-,59.5000000000,12877.0000000000,768976.3100000000,2025-11-07T16:00:45,0.2500000000,59.5000000000,-,61.5000000000,-,59.5000000000,2025-11-07T15:33:23,-,59.5000000000,59,60.0000000000,59.5000000000,1.00,1.00,59.2500000000,381,63,2025-11-07T16:00:45,0.4219409283,0.4219409283,ENNAKL,NKL,Distributeurs,/fr/live-market/instruments/NKL
17896744,05e5c8dd-3a0b-476a-b2d6-adeeeaab82b7,market_watch,OATWJ-690e0a0bd1a01,1,[],False,[],[],[],[],[],[],6469690.0000000000,100.1500000000,100.1500000000,-,100.1500000000,[],[],2025-11-07T15:40:00,0.0000000000,100.1500000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.1500000000,646,[],2025-11-07T15:40:00,[],0.0000000000,22DEC2015 4.52% 10A 100K ATW,OATWJ,Banques,/fr/live-market/instruments/OATWJ
17896750,5e383f6b-0d8f-4a13-b7f7-0c11a90851e4,market_watch,OATWM-690e0a126f86a,1,[],False,[],[],[],[],[],[],10037000.0000000000,100.3700000000,100.3700000000,-,100.3700000000,[],[],2025-11-07T15:40:00,0.0000000000,100.3700000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.3700000000,648,[],2025-11-07T15:40:00,[],0.0000000000,28JUN2016 3.74% 10A 100K ATW,OATWM,Banques,/fr/live-market/instruments/OATWM
17896763,a5f18e95-6979-453d-a23c-9702bcb1e647,market_watch,OBOAE-690e0a2001521,1,[],False,[],[],[],[],[],[],7919193.0000000000,100.3700000000,100.3700000000,-,100.3700000000,[],[],2025-11-07T15:40:00,0.0000000000,100.3700000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.3700000000,647,[],2025-11-07T15:40:00,[],0.0000000000,28JUN2016 3.74% 10A 100K BOA,OBOAE,Banques,/fr/live-market/instruments/OBOAE
17896747,04146cd7-f547-4bac-b12f-c2de19f56a45,market_watch,OCAMB-690e0a0f387ee,1,[],False,[],[],[],[],[],[],29017400.0000000000,100.0600000000,100.0600000000,-,100.0600000000,[],[],2025-11-07T15:40:00,0.0000000000,100.0600000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.0600000000,645,[],2025-11-07T15:40:00,[],0.0000000000,27NOV2015 4.80% 10A 100K CAM,OCAMB,Banques,/fr/live-market/instruments/OCAMB
17896751,40144b78-81ec-43a6-88a2-193088420800,market_watch,OCAMF-690e0a1361eb7,1,[],False,[],[],[],[],[],[],5047500.0000000000,100.9500000000,100.9500000000,-,100.9500000000,[],[],2025-11-07T15:40:00,0.0000000000,100.9500000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.9500000000,650,[],2025-11-07T15:40:00,[],0.0000000000,12OCT2016 4.43% 10A 100K CAM,OCAMF,Banques,/fr/live-market/instruments/OCAMF
17896759,d4f93e4a-7d60-4d35-8346-98762216af86,market_watch,OCAMG-690e0a1bbb50d,1,[],False,[],[],[],[],[],[],18021828.0000000000,102.6300000000,102.6300000000,-,102.6300000000,[],[],2025-11-07T15:40:00,0.0000000000,102.6300000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,102.6300000000,404,[],2025-11-07T15:40:00,[],0.0000000000,01NOV2018 4.10% 10A 100K CAM,OCAMG,Banques,/fr/live-market/instruments/OCAMG
17896754,b592ccf5-9e16-40fd-98fe-5e65e06bc8bf,market_watch,OCAMJ-690e0a16ce74f,1,[],False,[],[],[],[],[],[],20681597.0000000000,101.9300000000,101.9300000000,-,101.9300000000,[],[],2025-11-07T15:40:00,0.0000000000,101.9300000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,101.9300000000,493,[],2025-11-07T15:40:00,[],0.0000000000,11OCT2017 4.22% 10A 100K CAM,OCAMJ,Banques,/fr/live-market/instruments/OCAMJ
17896752,23a4e9ec-ac68-4b16-a329-cf82611e8874,market_watch,OCDMC-690e0a14a69b6,1,[],False,[],[],[],[],[],[],5548400.0000000000,100.8800000000,100.8800000000,-,100.8800000000,[],[],2025-11-07T15:40:00,0.0000000000,100.8800000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.8800000000,651,[],2025-11-07T15:40:00,[],0.0000000000,21DEC2016 3.93% 10A 100K CDM,OCDMC,Banques,/fr/live-market/instruments/OCDMC
17896760,303ff043-4de6-40a2-8f54-98da28968404,market_watch,OCDMD-690e0a1cbdeb5,1,[],False,[],[],[],[],[],[],20312875.0000000000,102.8500000000,102.8500000000,-,102.8500000000,[],[],2025-11-07T15:40:00,0.0000000000,102.8500000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,102.8500000000,408,[],2025-11-07T15:40:00,[],0.0000000000,17DEC2018 4.05% 10A 100K CDM,OCDMD,Banques,/fr/live-market/instruments/OCDMD
17896766,86891470-91e8-4954-b35c-9b3f7b3866ad,market_watch,OCFGC-690e0a237525d,1,[],False,[],[],[],[],[],[],1995200.0000000000,99.7600000000,99.7600000000,-,99.7600000000,[],[],2025-11-07T15:40:00,0.0000000000,99.7600000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,99.7600000000,447,[],2025-11-07T15:40:00,[],0.0000000000,23DEC2021 4.69% IND 100K CFG,OCFGC,Banques,/fr/live-market/instruments/OCFGC
17896757,ad9eae71-a88c-44e9-9adb-9ea7d98ec393,market_watch,OCIHC-690e0a19d26fa,1,[],False,[],[],[],[],[],[],8435112.0000000000,102.1200000000,102.1200000000,-,102.1200000000,[],[],2025-11-07T15:40:00,0.0000000000,102.1200000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,102.1200000000,393,[],2025-11-07T15:40:00,[],0.0000000000,18MAI2018 4.02% 10A 100K CIH,OCIHC,Banques,/fr/live-market/instruments/OCIHC
17896746,c5d6bd7f-56d7-4371-81dd-9e945be509ec,market_watch,OFECA-690e0a0e159c1,1,[],False,[],[],[],[],[],[],2026400.0000000000,101.3200000000,101.3200000000,-,101.3200000000,[],[],2025-11-07T15:40:00,0.0000000000,101.3200000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,101.3200000000,625,[],2025-11-07T15:40:00,[],0.0000000000,20JAN2012 5.30% 15A 100K FEC,OFECA,Services aux Collectivités,/fr/live-market/instruments/OFECA
17896745,e9e0765f-2965-4548-854e-ce009760a4a4,market_watch,OOCFC-690e0a0cf24f5,1,[],False,[],[],[],[],[],[],2700097.9000000000,101.2600000000,101.2600000000,-,101.2600000000,[],[],2025-11-07T15:40:00,0.0000000000,101.2600000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,101.2600000000,626,[],2025-11-07T15:40:00,[],0.0000000000,20OCT2011 5.11% 15A 100K OCF,OOCFC,Transport,/fr/live-market/instruments/OOCFC
17896753,5fcf7543-9b08-4d81-9be1-af07d63b29d7,market_watch,OOCPB-690e0a15bb1f6,1,[],False,[],[],[],[],[],[],55929864.0000000000,100.9200000000,100.9200000000,-,100.9200000000,[],[],2025-11-07T15:40:00,0.0000000000,100.9200000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,100.9200000000,407,[],2025-11-07T15:40:00,[],0.0000000000,23DEC2016 4.07% IND 100K OCP,OOCPB,Mines,/fr/live-market/instruments/OOCPB
17896755,d538babd-5e4f-4dac-90e9-e0b224b1203b,market_watch,OOCPC-690e0a17c137b,1,[],False,[],[],[],[],[],[],18691620.0000000000,102.1400000000,102.1400000000,-,102.1400000000,[],[],2025-11-07T15:40:00,0.0000000000,102.1400000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,102.1400000000,372,[],2025-11-07T15:40:00,[],0.0000000000,14MAI2018 4.03% IND 100K OCP,OOCPC,Mines,/fr/live-market/instruments/OOCPC
17896758,fe28e727-4dbe-4639-a688-064e2d1784ef,market_watch,OSOGD-690e0a1ac33a2,1,[],False,[],[],[],[],[],[],5164635.0000000000,102.2700000000,102.2700000000,-,102.2700000000,[],[],2025-11-07T15:40:00,0.0000000000,102.2700000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,102.2700000000,395,[],2025-11-07T15:40:00,[],0.0000000000,28JUN2018 4.00% 10A 100K SOG,OSOGD,Banques,/fr/live-market/instruments/OSOGD
17896995,12410105-0e82-4a7e-84ee-d6b540584014,market_watch,OUL-690e0b5f3d80a,1,[],False,[],[],1248.0000000000,5.0000000000,1176.0000000000,3.0000000000,2326500000.0000000000,1175.0000000000,1175.0000000000,-,1175.0000000000,[],[],2025-11-07T16:00:45,0.0000000000,1175.0000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,1175.0000000000,479,[],2025-11-07T16:00:45,[],0.0000000000,OULMES,OUL,Boissons,/fr/live-market/instruments/OUL
